9.259760193716218737e+02,1.899963952693095416e+04,3.358958691487443139e+04,2.105229042847313394e+04,1.322667399108833888e+04
1.235871634300962796e+03,2.539063419931988392e+04,3.974168457338055305e+04,2.245776935797015176e+04,1.357842179806406239e+04
1.625152866891555959e+03,1.955372561992367628e+04,3.512415974287502468e+04,2.149825114454601862e+04,1.336813937033723232e+04
1.450976785899254537e+03,2.183672198949714220e+04,3.566893193616939243e+04,2.150220677515464922e+04,1.336942622068573473e+04
1.361763826108741796e+03,2.270644169641356348e+04,3.405545056334787660e+04,2.061147612965236476e+04,1.313332759498340965e+04
1.504837460838382412e+03,2.231822553885317029e+04,3.783903347492723697e+04,2.265390555370794755e+04,1.367935216316345031e+04
1.838735451835863159e+03,2.512876520448735027e+04,3.915946622696856502e+04,2.200090093423652434e+04,1.346166207355322149e+04
1.451599617833626098e+03,2.485080550035827036e+04,3.942005985260893794e+04,2.250480476144549539e+04,1.360166319257354189e+04
1.497511993649619399e+03,2.450292004449536762e+04,3.768130054550292698e+04,2.198468471037734707e+04,1.348300678821710790e+04
1.382441756613201505e+03,1.922584817151719835e+04,3.454576571080690337e+04,2.119081401581195314e+04,1.330520007190662363e+04
1.221605580227434757e+03,2.384981371897172721e+04,3.806348097898502601e+04,2.218152815775862837e+04,1.351238903660029064e+04
2.018719691159722970e+03,2.428612958505697316e+04,3.763869802952165628e+04,2.197294429923994176e+04,1.346554850282446205e+04
1.110817488020471728e+03,1.991295261530611242e+04,3.494100792809463746e+04,2.138754928407415719e+04,1.331357063775061033e+04
1.641101516168002490e+03,2.624367227989353341e+04,3.923643685595410352e+04,2.223588126102959359e+04,1.355992002893452627e+04
1.331400098861937522e+03,2.098312668185748043e+04,3.581294294479236851e+04,2.172953638102428158e+04,1.340692346768473180e+04
1.363456099756994718e+03,2.134475761073713875e+04,3.421054383038791275e+04,2.118075418087089929e+04,1.327464961212918206e+04
1.970450787884232341e+03,2.693556754327995441e+04,4.130093105805508822e+04,2.271829472062145578e+04,1.369201861304411068e+04
9.731763347288209616e+02,2.049252447483601645e+04,3.462381861402754294e+04,2.098892254981176666e+04,1.317393272616776449e+04
1.814707388308608415e+03,2.170872206744562573e+04,3.576823376006005128e+04,2.169366180664947751e+04,1.343879622422361535e+04
1.182349579803794768e+03,2.303908308744160240e+04,3.856280493117884907e+04,2.232235314839132843e+04,1.359593737937617152e+04
2.088400943711559648e+03,2.547854866032405334e+04,3.774731326757033821e+04,2.195443837589466420e+04,1.344816539199618819e+04
1.381887393117569218e+03,2.313654827453412145e+04,3.763603000076897297e+04,2.202936486696644715e+04,1.346847541185961563e+04
1.490364229148841105e+03,2.347011369554192424e+04,3.736562992878305522e+04,2.186692218487986975e+04,1.348093953704221713e+04
